fold,test_seasons,method,n_games,accuracy,brier_score
0,2021-2021,GamePredictor,2466,0.5689375506893755,0.2424385106789725
0,2021-2021,Logistic regression (ERA/wRC+ proxy),2466,0.5425790754257908,0.2478248672375995
0,2021-2021,Always predict home win,2466,0.5401459854014599,0.4598540145985401
1,2022-2022,GamePredictor,2470,0.5684210526315789,0.2424669160430732
1,2022-2022,Logistic regression (ERA/wRC+ proxy),2470,0.5534412955465587,0.2453016755528946
1,2022-2022,Always predict home win,2470,0.5331983805668016,0.4668016194331983
2,2023-2023,GamePredictor,2471,0.5366248482395791,0.2473023114153688
2,2023-2023,Logistic regression (ERA/wRC+ proxy),2471,0.5277215702144881,0.2488713004697648
2,2023-2023,Always predict home win,2471,0.5176042088223392,0.4823957911776608
3,2024-2024,GamePredictor,2472,0.5214401294498382,0.2495232842285649
3,2024-2024,Logistic regression (ERA/wRC+ proxy),2472,0.5295307443365695,0.2475074200094501
3,2024-2024,Always predict home win,2472,0.5214401294498382,0.4785598705501618
4,2025-2025,GamePredictor,2477,0.5454178441663302,0.2466921485083928
4,2025-2025,Logistic regression (ERA/wRC+ proxy),2477,0.5551069842551474,0.2461917666250606
4,2025-2025,Always predict home win,2477,0.542995559144126,0.457004440855874
5,2026-2026,GamePredictor,1304,0.526840490797546,0.2493367141501951
5,2026-2026,Logistic regression (ERA/wRC+ proxy),1304,0.5406441717791411,0.24870951198769745
5,2026-2026,Always predict home win,1304,0.526840490797546,0.473159509202454
